Index_Number,Sr#,Rank,School_Name,Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,22-23,13-23,PerAnnumGrowth
39,40,40,Mount Waverley Secondary College,MOUNT WAVERLEY,820000,950000,1267500,1265000,1416000,1320000,1270500,1300000,1511000,1509000,1600000,1600000.0,6,95.0,6.9
40,41,41,Ringwood Secondary College,RINGWOOD,552000,660000,777500,837500,910500,896500,801000,900000,1018000,1038000,999500,1135000.0,-4,81.0,6.1
41,42,41,Sandringham College,SANDRINGHAM,1210000,1305000,1490000,1760000,1862500,1850000,1665000,1850000,2420000,2400000,2100000,1920000.0,-13,74.0,5.7
42,43,43,Kew High School,KEW EAST,1210000,1314000,1600000,1655000,1876000,1800000,1837000,1785000,1990000,2040000,2200000,,8,82.0,6.2
43,44,44,Charlton College,CHARLTON,120000,131000,179500,160000,136000,150000,147000,149500,195000,300000,320000,275000.0,7,167.0,10.3
44,45,45,Lyndhurst Secondary College,CRANBOURNE,315000,331500,360000,406000,510000,540000,500000,510000,618000,660000,655000,639000.0,-1,108.0,7.6
45,46,46,Trafalgar High School,TRAFALGAR,283000,311000,310000,312500,333500,375000,396500,435000,485000,590000,560000,595000.0,-5,98.0,7.1
46,47,47,Strathmore Secondary College,STRATHMORE,827500,865000,997500,1140000,1230000,1357500,1320000,1360000,1576000,1605000,1416500,1264500.0,-12,71.0,5.5
47,48,48,Buckley Park College,ESSENDON,870000,942000,1228000,1365000,1400000,1691000,1450000,1520000,1750000,1841000,1760000,1550000.0,-4,102.0,7.3
48,49,49,Blackburn High School,BLACKBURN,860500,936000,1200500,1241000,1410000,1370500,1305000,1405000,1639500,1549500,1600000,1624000.0,3,86.0,6.4
49,50,50,Mount Alexander College,FLEMINGTON,735500,730000,830000,918000,1100000,926500,1000000,1028500,1250000,1103500,1027500,1037500.0,-7,40.0,3.4
50,51,51,Elwood College,ELWOOD,1350000,1412500,1631000,1841500,1900000,2140000,1950000,2110000,2216500,2605000,2200000,2775000.0,-16,63.0,5.0
51,52,52,Newcomb Secondary College,NEWCOMB,280000,292000,290500,310000,375000,453500,435000,476000,584000,605000,567500,615000.0,-6,103.0,7.3
52,53,53,Northcote High School,NORTHCOTE,820000,931500,1008500,1190000,1325000,1345000,1305000,1411000,1653000,1650000,1605000,1665000.0,-3,96.0,6.9
53,54,54,Montmorency Secondary College,MONTMORENCY,570000,614000,732000,780500,890000,926000,860000,913000,1162000,1110000,1120000,1400000.0,1,96.0,7.0
54,55,55,Wycheproof P-12 College,WYCHEPROOF,95000,103000,100000,82500,100000,124500,141500,131000,170000,185000,203500,250000.0,10,114.0,7.9
55,56,56,Mordialloc College,MORDIALLOC,680000,755000,850000,933000,1120000,1046500,1017500,1089000,1375000,1296500,1385000,970000.0,7,104.0,7.4
56,57,57,Albert Park College,ALBERT PARK,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2202500,2330000.0,-11,62.0,4.9
57,58,57,Elisabeth Murdoch College,LANGWARRIN,385000,420000,450000,503000,600000,642500,610000,660000,805000,860000,835000,810000.0,-3,117.0,8.0
58,59,59,Highvale Secondary College,GLEN WAVERLEY,815000,960000,1212500,1221000,1337500,1300000,1287500,1304000,1558500,1560000,1660000,1675000.0,6,104.0,7.4
59,60,60,Kambrya College,BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,832500.0,-2,89.0,6.6
60,61,61,St Helena Secondary College,ELTHAM,631500,670000,750000,815000,930000,942500,928000,995000,1234500,1255000,1190000,1163500.0,-5,88.0,6.5
61,62,62,Murtoa College,MURTOA,95000,110000,91000,97500,115000,110000,119000,130000,145000,244500,267500,243500.0,9,182.0,10.9
62,63,63,Donald High School,DONALD,140000,120000,125000,145000,122000,145000,135500,145000,170000,225000,240000,240000.0,7,71.0,5.5
63,64,64,Victoria University Secondary College,CAIRNLEA,480000,545000,540000,608500,710000,734000,752500,807500,850000,941500,936500,942500.0,-1,95.0,6.9
64,65,65,Mansfield Secondary College,MANSFIELD,364000,347000,367500,359000,385000,430000,452500,510000,640000,732500,786000,684000.0,7,116.0,8.0
65,66,66,Brauer College,WARRNAMBOOL,325000,323000,330000,320000,330000,350000,370000,415000,520000,602000,605000,547500.0,0,86.0,6.4
